,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID,Severity
4580,34.0639269406393,15,43,61.3947128532361,0.292672917417959,78.7,7,37917.1797061165,2,0.0035124130283169,6610,Significant_Damage_And_Serious_Injuries
1406,61.2785388127854,10,3,79.3072014585233,0.31034331049405,84.53,2,60869.7486975738,2,0.77780180254329,7800,Minor_Damage_And_Injuries
1964,58.7214611872146,14,7,75.2051048313583,0.249398485394879,88.93,7,23410.3422885626,4,0.0024057624320687,8293,Significant_Damage_And_Fatalities
7497,50.2739726027397,17,7,47.7210574293528,0.504717634331049,81.35,7,32473.8642120236,3,0.0033123599540966,510,Significant_Damage_And_Serious_Injuries
43,46.2557077625571,7,2,67.5022789425707,0.269232600072124,75.35,4,38277.0201603213,0,0.0704801840529321,4445,Highly_Fatal_And_Damaging
4402,56.9406392694064,11,5,64.4484958979034,0.45387017670393,82.73,2,31122.6458475577,2,0.422529599914483,858,Minor_Damage_And_Injuries
6158,62.3744292237443,13,7,42.0237010027347,0.589824017309773,79.58,7,31898.6401662182,2,0.0028710089971136,5313,Significant_Damage_And_Fatalities
5527,37.3059360730594,14,10,61.6681859617138,0.456033898305084,78.97,7,44552.8688266593,3,0.0042971745609235,5582,Significant_Damage_And_Serious_Injuries
8141,28.9041095890411,13,4,62.2607110300821,0.383909844933285,76.85,1,55683.7444753324,1,2.04849047999187,4416,Highly_Fatal_And_Damaging
5598,61.2328767123288,7,1,58.97903372835,0.422496213487198,75.7,4,18869.5876217835,2,0.0350890825621048,1384,Significant_Damage_And_Serious_Injuries
2127,40.7305936073059,9,1,85.9617137648131,0.281854309412189,81.53,1,36065.2085271643,1,1.32780561980098,6591,Highly_Fatal_And_Damaging
7708,38.3561643835616,14,1,56.9279854147676,0.538976559682654,78.02,6,36484.2326304193,2,0.0089828570247639,1130,Minor_Damage_And_Injuries
7130,60.1369863013699,10,0,63.6736554238833,0.494620266858997,79.6,2,11806.5506664532,2,0.146846222191999,5716,Minor_Damage_And_Injuries
6499,22.9223744292237,14,7,49.8632634457612,0.354699603317706,77.09,6,48298.9454839267,3,0.0115453696276444,7458,Significant_Damage_And_Fatalities
5012,67.2146118721461,12,3,79.0337283500456,0.390761630003606,87.51,2,51368.7499996858,4,0.695172258679209,1117,Minor_Damage_And_Injuries
2651,51.0502283105023,10,1,45.3965360072927,0.699813198701766,76.01,6,24084.887315452,0,0.0060942877568722,6024,Minor_Damage_And_Injuries
8685,34.1095890410959,15,1,70.1914311759344,0.357223945185719,78.59,2,20683.2245157714,1,0.280846251085749,5112,Significant_Damage_And_Serious_Injuries
9034,36.4840182648402,17,0,72.4247948951687,0.287624233681933,78.74,2,28770.8750092367,2,0.388261185483228,11915,Minor_Damage_And_Injuries
1200,37.5342465753425,10,6,51.7775752051048,0.466131265777136,77.25,4,26972.5039664084,2,0.0490861678801767,8124,Significant_Damage_And_Fatalities
7897,68.675799086758,8,20,56.1987237921604,0.475868012982329,80.79,6,30637.0708362277,3,0.0075947756610734,3823,Significant_Damage_And_Serious_Injuries
877,72.9680365296803,7,6,80.4010938924339,0.337029210241615,77.77,2,29821.7823571095,2,0.403593936192003,4305,Minor_Damage_And_Injuries
2250,37.4885844748858,14,1,79.7629899726527,0.251201586729174,80.58,3,26266.3679590952,2,0.131453133849679,5140,Significant_Damage_And_Serious_Injuries
1856,27.4885844748858,16,2,73.4731084776664,0.351454020915975,80.45,3,18241.0570937703,2,0.0926749837789125,10975,Significant_Damage_And_Serious_Injuries
2886,25.1598173515982,14,10,75.2506836827712,0.335586729174179,79.81,2,31463.5685651779,3,0.427244633172575,7849,Highly_Fatal_And_Damaging
4654,19.041095890411,16,4,72.151321786691,0.279690587811035,75.88,7,33108.5121785402,3,0.0032646245817578,7685,Highly_Fatal_And_Damaging
2570,20.958904109589,19,16,70.9206927985415,0.276805625676163,77.62,6,36662.2802611695,2,0.0089756501725398,5963,Significant_Damage_And_Serious_Injuries
4048,29.4977168949772,16,2,62.8532360984503,0.321522538766679,85.26,5,36656.5473460937,3,0.0253444907773519,11342,Significant_Damage_And_Serious_Injuries
8200,46.8949771689498,18,0,57.7484047402006,0.356502704652002,76.35,4,36896.7612819041,3,0.0673084209630457,8202,Significant_Damage_And_Fatalities
6210,43.6529680365297,12,10,51.0938924339107,0.341717273710782,82.45,4,29832.3547137758,2,0.0544450648103602,12490,Minor_Damage_And_Injuries
3765,20.4566210045662,15,8,92.9808568824066,0.15924341868013,80.14,4,16233.8332153718,2,0.0290802124759881,4800,Highly_Fatal_And_Damaging
614,73.1506849315069,10,22,69.5533272561531,0.417808150018031,85.97,7,30951.0633871869,3,0.0027828913357002,10118,Significant_Damage_And_Fatalities
6664,76.8949771689498,9,1,73.4731084776664,0.214418319509556,77.09,1,16008.6132698744,2,0.589488708275267,6771,Significant_Damage_And_Fatalities
1231,56.1643835616438,8,4,85.6882406563355,0.151670393076091,81.38,3,39207.1676150761,3,0.19399576228932,10850,Significant_Damage_And_Serious_Injuries
3864,28.3561643835616,13,8,61.3947128532361,0.268511359538406,80.96,5,45084.5487151254,2,0.0297081807839066,10192,Highly_Fatal_And_Damaging
668,36.2100456621005,17,11,41.4311759343665,0.580447890371439,77.91,2,26064.9318938155,2,0.352422365698257,5655,Highly_Fatal_And_Damaging
4942,19.5433789954338,16,9,53.327256153145,0.462164442841687,77.67,7,38050.7869555455,2,0.0036579562330693,9235,Significant_Damage_And_Fatalities
8559,25.296803652968,14,1,63.9015496809481,0.401580238009376,77.87,4,42439.1944385303,2,0.0775283006898538,2515,Highly_Fatal_And_Damaging
9768,23.7899543378995,14,9,66.2716499544212,0.363354489722322,80.35,4,43635.7546909786,1,0.0801631199888322,2169,Highly_Fatal_And_Damaging
7001,63.8356164383562,13,3,57.5205104831358,0.447379011900469,77.02,4,27034.8776966234,3,0.0491943253022702,11134,Significant_Damage_And_Fatalities
3252,52.3744292237443,13,0,68.1403828623519,0.280411828344753,84.29,5,38523.0586431725,3,0.0264809794842174,2815,Minor_Damage_And_Injuries
1547,24.8858447488584,14,0,59.2980856882407,0.377418680129823,81.78,4,29969.7483833104,2,0.0550633670072995,6593,Highly_Fatal_And_Damaging
6676,80.3196347031963,8,13,53.9653600729262,0.451706455102777,87.1,7,25859.179796715,2,0.002193455801645,7715,Significant_Damage_And_Serious_Injuries
1767,47.3059360730593,8,6,59.6171376481313,0.284739271547061,80.34,6,29574.7363905462,3,0.0075125667175944,5260,Highly_Fatal_And_Damaging
7373,23.1050228310502,14,15,56.1987237921604,0.362633249188604,78.35,4,35120.7762258787,0,0.0639760512072301,1112,Highly_Fatal_And_Damaging
4788,25.6164383561644,14,2,51.0483135824977,0.63021348719798,78.55,4,24188.3948414421,1,0.0449289157473636,2678,Significant_Damage_And_Fatalities
2253,38.8584474885845,13,19,61.0300820419326,0.366960692390912,77.0,3,29921.1344954976,1,0.149082972484455,368,Significant_Damage_And_Serious_Injuries
2672,46.5753424657534,11,2,53.6007292616226,0.492817165524703,78.73,3,35380.6350123692,0,0.175837529631438,1409,Significant_Damage_And_Serious_Injuries
1770,30.5936073059361,12,0,78.1221513217867,0.276805625676163,78.53,4,28715.7080419414,2,0.0532825062350489,973,Highly_Fatal_And_Damaging
4004,20.1826484018265,15,3,65.8158614402917,0.193502344031734,78.99,4,27035.8387936996,2,0.049008374205047,10172,Highly_Fatal_And_Damaging
6397,46.027397260274,15,24,82.0419325432999,0.318276956364948,87.79,7,20238.6378843825,1,0.0020332757084098,11173,Minor_Damage_And_Injuries
9919,42.283105022831,9,13,74.2935278030994,0.33883231157591,80.37,1,21782.8175480912,2,0.794460931868181,12167,Highly_Fatal_And_Damaging
9904,55.9360730593607,12,1,80.8568824065634,0.269953840605842,80.55,1,41502.6668199476,0,1.525435927989,9086,Minor_Damage_And_Injuries
1631,32.5114155251142,12,16,64.2661804922516,0.368763793725207,77.39,4,36838.8109461688,2,0.0672593000875387,2628,Highly_Fatal_And_Damaging
6486,78.675799086758,8,1,73.7010027347311,0.277166245943022,82.49,1,36493.1943544014,2,1.32566078193503,9707,Significant_Damage_And_Fatalities
9644,44.5205479452055,8,1,68.915223336372,0.309982690227191,77.09,4,20871.6060187312,2,0.0383477654432181,11668,Highly_Fatal_And_Damaging
8956,72.5570776255708,7,34,74.3391066545123,0.319719437432383,77.77,2,33959.191621618,1,0.459495411657297,11188,Minor_Damage_And_Injuries
4204,17.0776255707763,16,6,75.2506836827712,0.330538045438154,76.77,3,34283.7746157361,1,0.171426427391359,7461,Highly_Fatal_And_Damaging
3083,29.7260273972603,13,4,84.2297174111213,0.301327803822575,77.11,4,27037.416414391,1,0.0489153100752888,4570,Highly_Fatal_And_Damaging
7219,55.1598173515982,12,4,40.2917046490429,0.571071763433105,78.7,5,27755.473500689,1,0.01851592253734,9394,Highly_Fatal_And_Damaging
1834,50.5022831050228,10,2,73.0628988149499,0.244349801658853,83.34,7,42627.7631749649,1,0.0039725312065608,9978,Significant_Damage_And_Serious_Injuries
6246,42.1004566210046,12,2,56.1531449407475,0.537534078615218,82.64,7,41724.5687249952,1,0.0038370838977165,7675,Minor_Damage_And_Injuries
2013,32.4200913242009,12,2,68.3226982680037,0.134,81.39,6,33079.1686288525,4,0.008145496149104,5715,Highly_Fatal_And_Damaging
1934,68.4018264840182,8,11,54.2388331814038,0.607855030652723,81.72,2,40177.3017762019,3,0.541152830444993,8009,Highly_Fatal_And_Damaging
6709,52.9680365296804,9,3,34.9134001823154,0.61939487919221,78.55,3,28014.7185262694,2,0.138895000959278,12228,Minor_Damage_And_Injuries
3539,43.9269406392694,15,0,86.7821330902461,0.286542372881356,77.3,6,33027.7395917952,1,0.0076985612491032,10761,Minor_Damage_And_Injuries
8164,36.027397260274,14,3,35.9161349134002,0.563138117562207,80.2,1,49433.5375323875,3,1.82919128625319,3278,Minor_Damage_And_Injuries
710,45.2511415525114,15,3,71.0574293527803,0.243267940858276,77.56,2,38858.4503003868,0,0.530620425913024,11605,Minor_Damage_And_Injuries
332,33.2876712328767,15,4,64.2661804922516,0.414923187883159,81.01,4,17572.9254839105,3,0.0320805077660302,6293,Significant_Damage_And_Serious_Injuries
4343,41.0045662100457,13,21,69.4165907019143,0.322604399567255,77.11,3,32990.9149372376,2,0.163199733689906,1700,Significant_Damage_And_Serious_Injuries
6854,53.9269406392694,12,17,75.2506836827712,0.273199423007573,79.17,5,38379.9835162289,3,0.026949466655398,1529,Minor_Damage_And_Injuries
4213,35.1598173515982,11,2,79.2160437556974,0.317555715831229,74.86,7,48882.9969470896,4,0.0046961159949105,971,Highly_Fatal_And_Damaging
8178,82.2374429223744,7,11,87.2379216043756,0.28509989181392,75.61,7,26960.231513311,0,0.0023244458703826,5169,Significant_Damage_And_Fatalities
8269,47.4885844748858,11,9,76.7547857793984,0.292672917417959,87.47,4,42282.7920364201,3,0.077011310665794,8765,Significant_Damage_And_Serious_Injuries
3659,29.1780821917808,12,1,79.535095715588,0.281854309412189,77.26,1,25556.9388061089,2,0.936484556293277,6369,Highly_Fatal_And_Damaging
3304,36.5753424657534,14,7,79.2160437556974,0.254086548864046,83.41,5,31398.4115377294,3,0.0215533582053583,8746,Significant_Damage_And_Serious_Injuries
67,13.6986301369863,17,5,62.6709206927985,0.258413992066354,79.85,2,37474.0741743146,1,0.50921558962637,2453,Highly_Fatal_And_Damaging
1323,77.3059360730594,2,14,49.4530537830446,0.380303642264695,87.08,2,15521.1855005986,2,0.217882733481642,152,Minor_Damage_And_Injuries
8566,41.4155251141553,19,11,65.9981768459435,0.572514244500541,80.01,7,28354.1216769969,4,0.0028844082789833,5624,Significant_Damage_And_Fatalities
2862,44.8401826484018,8,10,83.8195077484048,0.199632888568337,76.89,4,31213.7522212017,2,0.0577524992640029,3879,Highly_Fatal_And_Damaging
9488,22.0547945205479,15,10,60.6198723792161,0.556646952758745,77.34,1,31619.82941596,1,1.16290206831625,6613,Highly_Fatal_And_Damaging
7628,72.3287671232876,10,2,59.5259799453054,0.366960692390912,78.09,7,30049.5696334466,3,0.0029059606293677,4055,Significant_Damage_And_Fatalities
9402,36.9406392694064,17,7,74.8860528714676,0.324046880634692,76.62,1,26207.1291155829,1,0.957559403516106,6243,Minor_Damage_And_Injuries
4120,48.4474885844749,14,3,48.0856882406563,0.441969707897583,77.69,2,27506.8489311607,3,0.372872915328827,10574,Highly_Fatal_And_Damaging
2386,27.3972602739726,17,6,71.6499544211486,0.438363505228994,81.02,6,43780.0739571033,3,0.0110794939431453,9655,Significant_Damage_And_Serious_Injuries
9109,34.3835616438356,11,8,65.9981768459435,0.362272628921745,76.64,2,28960.8000088282,0,0.391182535671112,7851,Highly_Fatal_And_Damaging
5645,40.2739726027397,9,1,60.1640838650866,0.313228272628922,76.04,4,33080.0431427359,1,0.0604465525608029,4559,Highly_Fatal_And_Damaging
6216,20.958904109589,15,1,80.6289881494986,0.396892174540209,85.3,4,39527.6388068,0,0.0731233481438206,10655,Highly_Fatal_And_Damaging
